,Rank,Released,Movie,Total Box Office,url
0,4,2015,Star Wars Ep. VII: The Force Awakens,"$1,006,872,847",https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
1,5,2009,Avatar,"$899,243,135",https://www.the-numbers.com/movie/Avatar#tab=summary
2,7,2019,Avengers: Endgame,"$858,373,000",https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
3,14,2012,The Avengers,"$713,415,897",https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
4,15,2015,Jurassic World,"$704,885,576",https://www.the-numbers.com/movie/Jurassic-World#tab=summary
5,16,2018,Black Panther,"$700,059,566",https://www.the-numbers.com/movie/Black-Panther#tab=summary
6,18,2018,Avengers: Infinity War,"$678,815,482",https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
7,19,2008,The Dark Knight,"$676,582,901",https://www.the-numbers.com/movie/Dark-Knight-The#tab=summary
8,21,2004,Shrek 2,"$647,273,927",https://www.the-numbers.com/movie/Shrek-2#tab=summary
9,22,2002,Spider-Man,"$633,006,036",https://www.the-numbers.com/movie/Spider-Man#tab=summary
10,24,2017,Star Wars Ep. VIII: The Last Jedi,"$628,253,896",https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary
11,28,2018,Incredibles 2,"$608,581,744",https://www.the-numbers.com/movie/Incredibles-2#tab=summary
12,29,2006,Pirates of the Caribbean: Dead Man’s Chest,"$588,764,432",https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Mans-Chest#tab=summary
13,32,2003,The Lord of the Rings: The Return of the King,"$566,753,142",https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Return-of-the-King-The#tab=summary
14,33,2003,Finding Nemo,"$559,944,647",https://www.the-numbers.com/movie/Finding-Nemo#tab=summary
15,34,2016,Rogue One: A Star Wars Story,"$556,450,789",https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary
16,36,2004,Spider-Man 2,"$547,956,206",https://www.the-numbers.com/movie/Spider-Man-2#tab=summary
17,37,2004,The Passion of the Christ,"$543,911,111",https://www.the-numbers.com/movie/Passion-of-the-Christ-The#tab=summary
18,38,2019,The Lion King,"$543,638,047",https://www.the-numbers.com/movie/Lion-King-The#tab=summary
19,39,2005,Star Wars Ep. III: Revenge of the Sith,"$540,446,942",https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary
20,40,2002,The Lord of the Rings: The Two Towers,"$532,244,571",https://www.the-numbers.com/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary
21,45,2019,Star Wars: The Rise of Skywalker,"$515,202,542",https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
22,46,2012,The Dark Knight Rises,"$512,882,806",https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary
23,47,2016,Finding Dory,"$512,156,365",https://www.the-numbers.com/movie/Finding-Dory#tab=summary
24,48,2017,Beauty and the Beast,"$511,880,606",https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
